Counter,Post Category,Number of likes,Month-year,hashtag on post (Yes/No),multiple dogs on post(Yes/No),owner on post (Yes/No), toungue out on post(Yes/No)
1,INDOOR,16,10-19,YES,NO,NO,NO
2,OUTDOOR,17,8-19,YES,YES,NO,YES
3,INDOOR,33 VIEWS,8-19,YES,YES,NO,NO
4,OUTDOOR,32 VIEWS,8-19,YES,YES,NO,NO
5,PORTRAIT,14,7-19,YES,NO,NO,NO
6,OUTDOOR,28 VIEWS,7-19,YES,NO,NO,NO
7,PORTRAIT,15,7-19,YES,NO,NO,NO
8,OUTDOOR,39 VIEWS,7-19,YES,NO,NO,NO
9,OUTDOOR,17,7-19,YES,NO,NO,YES
10,INDOOR,30 VIEWS,7-19,YES,NO,NO,NO
11,FUNNY,14,6-19,YES,NO,NO,NO
12,OUTDOOR,12,6-19,YES,YES,NO,YES
13,OUTDOOR,33,5-19,YES,NO,YES,NO
14,OUTDOOR,26 VIEWS,5-19,YES,NO,NO,NO
15,OUTDOOR,20,5-19,YES,YES,NO,NO
16,FUNNY,37 VIEWS,5-19,YES,NO,NO,NO
17,EATING,39 VIEWS,4-19,YES,NO,NO,NO
18,PUPPY,41 VIEWS,4-19,YES,NO,NO,NO
19,DOGPARK,16,4-19,YES,YES,NO,YES
20,OUTDOOR,12,4-19,YES,NO,NO,NO
21,OUTDOOR,23,3-19,YES,NO,NO,YES
22,FUNNY,24,3-19,YES,NO,NO,NO
23,PORTRAIT,16,3-19,YES,NO,NO,NO
24,OUTDOOR,18,3-19,YES,NO,NO,NO
25,FUNNY,40 VIEWS,3-19,YES,NO,NO,NO
26,PORTRAIT,31,3-19,YES,NO,NO,NO
27,OUTDOOR,22,2-19,YES,YES,NO,YES
28,DOGPARK,15,2-19,YES,YES,NO,YES
29,DOG WEARING CLOTHES,17,10-18,YES,NO,NO,YES
30,INDOOR,38 VIEWS,10-18,YES,NO,NO,NO
31,OUTDOOR,28,9-18,YES,NO,YES,NO
32,PORTRAIT,25,9-18,YES,NO,NO,YES
33,INDOOR,15,9-18,YES,NO,NO,NO
34,OUTDOOR,19,8-18,YES,NO,YES,YES
35,OUTDOOR,20,8-18,YES,YES,NO,YES
36,INDOOR,21,8-18,YES,NO,NO,YES
37,OUTDOOR,57 VIEWS,7-18,YES,YES,NO,NO
38,OUTDOOR,15,7-18,YES,YES,NO,YES
39,OUTDOOR,19,7-18,YES,YES,NO,YES
40,OUTDOOR,43 VIEWS,7-18,YES,YES,NO,NO
41,OUTDOOR,42 VIEWS,7-18,YES,NO,NO,NO
42,INDOOR,29,7-18,YES,NO,YES,NO
43,INDOOR,21,7-18,YES,YES,NO,YES
44,OUTDOOR,22,7-18,YES,YES,NO,YES
45,INDOOR,15,7-18,YES,NO,NO,NO
46,OUTDOOR,17,7-18,YES,NO,NO,YES
47,OUTDOOR,78 VIEWS,7-18,YES,NO,YES,NO
48,INDOOR,20,7-18,YES,NO,YES,NO
49,PORTRAIT,24,7-18,YES,NO,NO,YES
50,INDOOR,10,6-18,YES,NO,NO,NO
51,INDOOR,26 VIEWS,6-18,YES,NO,NO,NO
52,OUTDOOR,19,6-18,YES,YES,YES,NO
53,OUTDOOR,16,5-18,YES,YES,NO,YES
54,PORTRAIT,17,4-18,YES,NO,NO,YES
55,OUTDOOR,19,4-18,YES,NO,YES,YES
56,INDOOR,22 VIEWS,4-18,YES,NO,NO,NO
57,INDOOR,13,2-18,YES,NO,NO,NO
58,EATING,10,9-17,YES,NO,NO,NO
59,CLOTHING,19,7-17,YES,NO,NO,NO
60,EATING,39 VIEWS,7-17,YES,NO,NO,NO
61,INDOOR,13,4-17,YES,NO,NO,NO
62,OUTDOOR,17,4-17,YES,NO,NO,NO
63,DOGPARK,11,3-17,YES,YES,NO,YES
64,OUTDOOR,11,3-17,YES,NO,NO,YES
65,INDOOR,15,2-17,YES,NO,NO,NO
66,CLOTHING,30 VIEWS,12-16,YES,NO,NO,YES
67,DOGPARK,33 VIEWS,12-16,YES,YES,NO,NO
68,EATING,16,12-16,YES,NO,NO,NO
69,INDOOR,14,11-16,YES,NO,NO,YES
70,OUTDOOR,18,8-16,YES,YES,NO,YES
71,PORTRAIT,13,8-16,YES,NO,NO,NO
72,FUNNY,13,7-16,YES,NO,NO,NO
73,PUPPY,17,7-16,YES,NO,NO,NO
74,PORTRAIT,24,6-16,YES,NO,NO,YES
75,INDOOR,23,6-16,YES,NO,NO,NO
76,FAMILY,19,5-16,YES,NO,NO,YES
77,PORTRAIT,33,5-16,YES,NO,NO,NO
78,EATING,33 VIEWS,5-16,YES,NO,NO,NO
79,DOGPARK,13,5-16,YES,YES,NO,NO
80,OUTDOOR,7 VIEWS,5-16,YES,NO,NO,YES
81,FUNNY,13,5-16,YES,NO,NO,NO
82,FAMILY,21,4-16,YES,NO,NO,NO
83,FAMILY,21,4-18,YES,NO,NO,NO
84,EATING,17,4-16,YES,NO,NO,NO
85,PUPPY,19,4-16,YES,NO,NO,NO
86,INDOOR,13,3-16,YES,NO,NO,NO
87,INDOOR,15,3-16,YES,NO,NO,NO
88,FUNNY,21,2-16,YES,NO,NO,NO
89,INDOOR,21,2-16,YES,NO,YES,NO
90,PORTRAIT,21,2-16,YES,NO,NO,NO
91,INDOOR,12,1-16,YES,NO,NO,NO
92,CLOTHING,18,1-16,YES,NO,NO,NO
93,FUNNY,43 VIEWS,1-16,YES,NO,NO,NO
94,FUNNY,16,1-16,YES,NO,NO,NO
95,FAMILY,13,1-16,YES,NO,NO,NO
96,FUNNY,28 VIEWS,11-15,YES,NO,YES,NO
97,CLOTHING,13,11-15,YES,NO,NO,NO
98,FUNNY,22,10-15,YES,NO,NO,NO
99,CLOTHING,15,9-15,YES,NO,NO,NO
100,FUNNY,30,9-15,YES,NO,YES,NO